GadgetID,Name,Category,PriceUSD,Rating
GAD1163,Gadget 163,Gaming,163.81,4.6
GAD1164,Gadget 164,Gaming,302.45,2.7
GAD1165,Gadget 165,Portable,174.52,3.5
GAD1166,Gadget 166,Portable,271.76,4.2
GAD1167,Gadget 167,Wearable,227.9,4.8
GAD1168,Gadget 168,Gaming,202.96,2.0
GAD1169,Gadget 169,Gaming,159.69,1.0
GAD1170,Gadget 170,Portable,456.72,3.7
GAD1171,Gadget 171,Portable,163.53,4.2
GAD1172,Gadget 172,Home Device,74.04,3.9
GAD1173,Gadget 173,Wearable,314.27,3.8
GAD1174,Gadget 174,AI Assistant,476.33,1.2
GAD1175,Gadget 175,Portable,339.03,2.2
GAD1176,Gadget 176,Wearable,338.35,4.3
GAD1177,Gadget 177,Gaming,172.65,2.3
GAD1178,Gadget 178,Home Device,417.7,1.4
GAD1179,Gadget 179,Gaming,63.13,1.6
GAD1180,Gadget 180,Gaming,454.09,4.7
GAD1181,Gadget 181,AI Assistant,475.54,2.4
GAD1182,Gadget 182,Home Device,302.19,1.2
GAD1183,Gadget 183,Wearable,344.82,4.4
GAD1184,Gadget 184,Wearable,486.3,3.2
GAD1185,Gadget 185,Gaming,371.69,3.2
GAD1186,Gadget 186,Wearable,482.47,1.7
GAD1187,Gadget 187,Wearable,209.8,4.6
GAD1188,Gadget 188,Home Device,428.33,1.3
GAD1189,Gadget 189,Home Device,426.53,3.3
GAD1190,Gadget 190,Portable,429.14,1.0
GAD1191,Gadget 191,Wearable,254.64,3.5
GAD1192,Gadget 192,Home Device,309.78,1.1
GAD1193,Gadget 193,Wearable,353.52,1.8
GAD1194,Gadget 194,Portable,33.81,4.8
GAD1195,Gadget 195,Home Device,139.77,2.4
GAD1196,Gadget 196,AI Assistant,281.43,2.3
GAD1197,Gadget 197,AI Assistant,350.6,2.3
GAD1198,Gadget 198,Wearable,311.02,2.4
GAD1199,Gadget 199,Home Device,447.22,5.0
